id,title,release_date,vote_average,vote_count,popularity,original_language,genre_ids,budget,revenue,runtime,production_companies,overview
595985,Cold Blood,2019-05-15,5.311,365,33.76,en,"[{'id': 53, 'name': 'Thriller'}, {'id': 28, 'name': 'Action'}]",2700000,0,91,"['Ascot Elite Entertainment Group', 'EastWest Productions', 'Eight 35', 'Goldcrest', 'Seven 52', 'Wild Tribe Films', 'Ukrainian State Film Agency', 'SE Film Production']","A legendary but retired hit man lives in peace and isolation in the barren North American wilderness. When he rescues a woman from a snowmobiling accident, he soon discovers that she's harboring a secret that forces him to return to his lethal ways."
11675,Halloween H20: 20 Years Later,1998-08-05,6.03,1571,33.76,en,"[{'id': 27, 'name': 'Horror'}, {'id': 53, 'name': 'Thriller'}]",17000000,75000000,86,"['Dimension Films', 'Nightfall Productions', 'Trancas International Films', 'Miramax']","Two decades after surviving a massacre on October 31, 1978, former baby sitter Laurie Strode finds herself hunted by persistent knife-wielder Michael Myers. Laurie now lives in Northern California under an assumed name, where she works as the headmistress of a private school. But it's not far enough to escape Myers, who soon discovers her whereabouts. As Halloween descends upon Laurie's peaceful community, a feeling of dread weighs upon her -- with good reason."
809140,Father Stu,2022-04-13,7.156,556,33.749,en,"[{'id': 18, 'name': 'Drama'}]",4000000,21591034,124,"['Municipal Pictures', 'Palm Drive Productions']","The true-life story of boxer-turned-priest. When an injury ends his amateur boxing career, Stuart Long moves to Los Angeles to find money and fame. While scraping by as a supermarket clerk, he meets Carmen, a Sunday school teacher who seems immune to his bad-boy charm. Determined to win her over, the longtime agnostic starts going to church to impress her. However, a motorcycle accident leaves him wondering if he can use his second chance to help others, leading to the surprising realization that he's meant to be a Catholic priest."
440021,Happy Death Day,2017-10-12,6.64,5961,27.818,en,"[{'id': 27, 'name': 'Horror'}, {'id': 9648, 'name': 'Mystery'}, {'id': 35, 'name': 'Comedy'}, {'id': 53, 'name': 'Thriller'}]",4800000,125500000,97,"['Vesuvius Productions', 'Blumhouse Productions', 'Digital Riot Media', 'Universal Pictures']","Caught in a bizarre and terrifying time warp, college student Tree finds herself repeatedly reliving the day of her murder, ultimately realizing that she must identify the killer and the reason for her death before her chances of survival run out."
297556,Justice League: Throne of Atlantis,2015-01-13,7.003,889,28.814,en,"[{'id': 878, 'name': 'Science Fiction'}, {'id': 28, 'name': 'Action'}, {'id': 16, 'name': 'Animation'}, {'id': 12, 'name': 'Adventure'}]",3500000,0,72,"['DC Comics', 'DC Entertainment', 'Warner Bros. Animation']","After the events of Justice League: War, Ocean Master and Black Manta have declared a war against the surface in retaliation of the aftermath of Apokoliptian-tyrant Darkseid's planetary invasion. Queen Atlanna seeks out her other son, Ocean Master’s half-brother Arthur Curry, a half-human with aquatic powers with no knowledge of his Atlantean heritage, to restore balance.  Living with powers he doesn’t understand and seeing the danger around him, Curry takes steps to embrace his destiny, joining the Justice League, and with his new teammates he battles to save Earth from total destruction."
941,Lethal Weapon,1987-03-06,7.289,4387,41.06,en,"[{'id': 12, 'name': 'Adventure'}, {'id': 28, 'name': 'Action'}, {'id': 35, 'name': 'Comedy'}, {'id': 53, 'name': 'Thriller'}, {'id': 80, 'name': 'Crime'}]",15000000,120200000,110,"['Silver Pictures', 'Warner Bros. Pictures']","Veteran buttoned-down LAPD detective Roger Murtaugh is partnered with unhinged cop Martin Riggs, who -- distraught after his wife's death -- has a death wish and takes unnecessary risks with criminals at every turn. The odd couple embark on their first homicide investigation as partners, involving a young woman known to Murtaugh with ties to a drug and prostitution ring."
775244,Mousa,2021-08-11,6.661,28,34.167,ar,"[{'id': 28, 'name': 'Action'}, {'id': 12, 'name': 'Adventure'}, {'id': 878, 'name': 'Science Fiction'}]",0,0,101,"['Dollar Productions', 'NEW Century']","An engineering college student invents the first of its kind robot in the Middle East, in an attempt to avenge his father's death and achieve justice, which gets him pursued by the authorities."
499726,MILF,2018-05-02,5.776,537,33.314,fr,"[{'id': 35, 'name': 'Comedy'}, {'id': 10749, 'name': 'Romance'}]",0,1100000,96,"['StudioCanal', 'Nexus Factory', 'A Single Man Productions', 'uMedia', 'Canal+']","Three childhood friends - Elise, Sonia and Cecile - leave for a summer in the South of France to help clear Cecile’s holiday house before it is put up for sale. There, they soon become the prime targets of three horny young men, for whom these single forty-year-old women are much more attractive than girls their age."
241239,A Most Violent Year,2014-12-31,6.609,1368,21.433,en,"[{'id': 80, 'name': 'Crime'}, {'id': 18, 'name': 'Drama'}, {'id': 53, 'name': 'Thriller'}]",20000000,12007070,124,"['Participant', 'Imagenation Abu Dhabi FZ', 'FilmNation Entertainment', 'Before the Door Pictures', 'Washington Square Films', 'Old Bull Pictures', 'CounterNarrative Films']","A thriller set in New York City during the winter of 1981, statistically one of the most violent years in the city's history, and centered on the lives of an immigrant and his family trying to expand their business and capitalize on opportunities as the rampant violence, decay, and corruption of the day drag them in and threaten to destroy all they have built."
10996,Stuart Little 2,2002-07-19,5.758,2323,25.806,en,"[{'id': 10751, 'name': 'Family'}, {'id': 12, 'name': 'Adventure'}, {'id': 16, 'name': 'Animation'}, {'id': 35, 'name': 'Comedy'}]",120000000,170000000,78,"['Columbia Pictures', 'Red Wagon Entertainment', 'Franklin/Waterman Productions']","Stuart, an adorable white mouse, still lives happily with his adoptive family, the Littles, on the east side of Manhattan's Central Park. More crazy mouse adventures are in store as Stuart, his human brother, George, and their mischievous cat, Snowbell, set out to rescue a friend."
1069945,Manjummel Boys,2024-02-22,8.038,26,37.269,ml,"[{'id': 12, 'name': 'Adventure'}, {'id': 53, 'name': 'Thriller'}, {'id': 18, 'name': 'Drama'}]",0,0,135,['Parava Films'],"Manjummel Boys, based on a real story, is about a bunch of friends who set out on a trip to Kodaikanal and the events that occur there."
931102,Ride On,2023-04-07,7.412,290,33.679,zh,"[{'id': 28, 'name': 'Action'}, {'id': 35, 'name': 'Comedy'}, {'id': 18, 'name': 'Drama'}]",0,36232675,126,"['Alibaba Pictures Group', 'Hairun Pictures Company', 'China Film Group Corporation', 'Fosun Pictures', 'Hengdian Entertainment', 'Golden Network Asia']",A washed-up stuntman and his stunt horse become an overnight social media sensation when their real-life fight with debt collectors goes viral.
10316,The Ides of March,2011-09-24,6.674,2385,27.552,en,"[{'id': 18, 'name': 'Drama'}]",12500000,76338111,101,"['Appian Way', 'Crystal City Entertainment', 'Cross Creek Pictures', 'Exclusive Media', 'Smoke House Pictures']",Dirty tricks stand to soil an ambitious young press spokesman's idealism in a cutthroat presidential campaign where 'victory' is relative.
425822,The Raid,,0.0,0,29.549,en,"[{'id': 28, 'name': 'Action'}]",0,0,0,"['Range Media Partners', 'XYZ Films']","Remake of the 2012 film which is set in Philadelphia’s drug-infested “Badlands,” where an elite undercover DEA task force climbs a ladder of cartel informants to catch an elusive kingpin."
814338,Lady Chatterley's Lover,2022-11-22,6.62,392,30.832,en,"[{'id': 18, 'name': 'Drama'}, {'id': 10749, 'name': 'Romance'}]",0,0,126,"['3000 Pictures', 'Blueprint Pictures', 'HarperCollins Publishers', 'Laurence Mark Productions']",Unhappily married aristocrat Lady Chatterley begins a torrid affair — and falls deeply in love — with the gamekeeper on her husband's country estate.
